"COLLISION_ID","CRASH_DATE","CRASH_TIME","BOROUGH","ZIP_CODE","LATITUDE","LONGITUDE","LOCATION","ON_STREET_NAME","CROSS_STREET_NAME","NUMBER_OF_PERSONS_INJURED","NUMBER_OF_PERSONS_KILLED","NUMBER_OF_PEDESTRIANS_INJURED","NUMBER_OF_PEDESTRIANS_KILLED","NUMBER_OF_CYCLIST_INJURED","NUMBER_OF_CYCLIST_KILLED","NUMBER_OF_MOTORIST_INJURED","NUMBER_OF_MOTORIST_KILLED","CONTRIBUTING_FACTOR_VEHICLE_1","VEHICLE_TYPE_CODE_1","VEHICLE_TYPE_CODE_2","CRASH_YEAR","CRASH_MONTH"
4407291,"2021-04-14","3:39","BROOKLYN",11230,40.619396,-73.969574,"40.619396, -73.969574","OCEAN PARKWAY","AVENUE L",0,0,0,0,0,0,0,0,"Unspecified","Sedan","Station Wagon/Sport Utility Vehicle",2021,4
4408356,"2021-04-16","15:05","BROOKLYN",11237,40.708805,-73.92577,"40.708805, -73.92577","STEWART AVENUE","JOHNSON AVENUE",0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Sedan","Sedan",2021,4
4407245,"2021-04-14","9:33","BRONX",10472,40.826424,-73.85868,"40.826424, -73.85868","BRUCKNER BOULEVARD","VIRGINIA AVENUE",0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",2021,4
4407929,"2021-04-16","13:02","QUEENS",11385,40.702335,-73.89073,"40.702335, -73.89073","CENTRAL AVENUE","65 STREET",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Sedan","Sedan",2021,4
4407770,"2021-04-01","0:10","MANHATTAN",10027,40.805138,-73.945244,"40.805138, -73.945244","WEST 122 STREET","MOUNT MORRIS PARK WEST",0,0,0,0,0,0,0,0,"Reaction to Uninvolved Vehicle","Station Wagon/Sport Utility Vehicle","Sedan",2021,4
4407338,"2021-04-14","6:45","STATEN ISLAND",10308,40.54048,-74.153404,"40.54048, -74.153404","ARMSTRONG AVENUE","HILLCREST STREET",0,0,0,0,0,0,0,0,"View Obstructed/Limited","Station Wagon/Sport Utility Vehicle","Sedan",2021,4
4407829,"2021-04-15","12:26","MANHATTAN",10001,40.751446,-74.001434,"40.751446, -74.001434","WEST 29 STREET","10 AVENUE",2,0,0,0,0,0,2,0,"Failure to Yield Right-of-Way","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",2021,4
4407496,"2021-04-15","8:10","MANHATTAN",10022,40.76161,-73.97076,"40.76161, -73.97076","EAST 57 STREET","PARK AVENUE",0,0,0,0,0,0,0,0,"Driver Inexperience","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",2021,4
4407689,"2021-04-15","18:30","BROOKLYN",11223,40.596977,-73.97324,"40.596977, -73.97324","MC DONALD AVENUE","AVENUE U",0,0,0,0,0,0,0,0,"Unspecified","Sedan","Sedan",2021,4
4407381,"2021-04-14","20:10","BROOKLYN",11238,40.68821,-73.96583,"40.68821, -73.96583","WASHINGTON AVENUE","LAFAYETTE AVENUE",0,0,0,0,0,0,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion","Station Wagon/Sport Utility Vehicle","Bike",2021,4
4407532,"2021-04-14","17:20","BRONX",10472,40.84827,-73.88312,"40.84827, -73.88312","SOUTHERN BOULEVARD","EAST 182 STREET",0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","E-Bike","Sedan",2021,4
4407729,"2021-04-15","16:00","BROOKLYN",11207,40.66725,-73.88799,"40.66725, -73.88799","DUMONT AVENUE","HENDRIX STREET",1,0,0,0,0,0,1,0,"Unspecified","Van","Sedan",2021,4
4407789,"2021-04-13","17:55","BRONX",10452,40.844105,-73.923065,"40.844105, -73.923065","GRANT HIGHWAY","UNIVERSITY AVENUE",1,0,0,0,1,0,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion","Station Wagon/Sport Utility Vehicle","Bike",2021,4
4408193,"2021-04-15","23:36","BRONX",10452,40.834415,-73.92854,"40.834415, -73.92854","OGDEN AVENUE","WEST 165 STREET",0,0,0,0,0,0,0,0,"View Obstructed/Limited","Ambulance","Station Wagon/Sport Utility Vehicle",2021,4
4407414,"2021-04-14","19:45","BROOKLYN",11201,40.69484,-73.98391,"40.69484, -73.98391","FLATBUSH AVENUE EXTENSION","JOHNSON STREET",1,0,0,0,1,0,0,0,"Driver Inattention/Distraction","Sedan","Bike",2021,4
4407388,"2021-04-14","17:50","BROOKLYN",11204,40.618595,-73.99847,"40.618595, -73.99847","16 AVENUE","71 STREET",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Sedan","Sedan",2021,4
4408264,"2021-04-14","22:21","BROOKLYN",11213,40.66895,-73.9339,"40.66895, -73.9339","EASTERN PARKWAY","SCHENECTADY AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Moped","Station Wagon/Sport Utility Vehicle",2021,4
4408155,"2021-04-16","23:14","BRONX",10469,40.875874,-73.84989,"40.875874, -73.84989","BOSTON ROAD","FISH AVENUE",3,0,0,0,0,0,3,0,"Unspecified","Sedan","Sedan",2021,4
4407866,"2021-04-16","14:50","BROOKLYN",11236,40.63083,-73.90736,"40.63083, -73.90736","EAST 80 STREET","PAERDEGAT 7 STREET",2,0,0,0,0,0,2,0,"Driver Inexperience","Station Wagon/Sport Utility Vehicle","Sedan",2021,4
4407453,"2021-04-14","16:58","MANHATTAN",10065,40.764362,-73.96162,"40.764362, -73.96162","2 AVENUE","EAST 65 STREET",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Sedan","Sedan",2021,4
4407632,"2021-04-14","17:00","QUEENS",11422,40.66406,-73.73846,"40.66406, -73.73846","241 STREET","141 AVENUE",2,0,0,0,0,0,2,0,"Unspecified","Sedan","Sedan",2021,4
4407841,"2021-04-13","13:14","MANHATTAN",10029,40.7963,-73.93829,"40.7963, -73.93829","EAST 115 STREET","2 AVENUE",0,0,0,0,0,0,0,0,"Turning Improperly","Sedan","Sedan",2021,4
4407096,"2021-04-14","2:25","QUEENS",11422,40.66563,-73.73921,"40.66563, -73.73921","BROOKVILLE BOULEVARD","SUNRISE HIGHWAY",1,0,0,0,0,0,1,0,"Traffic Control Disregarded","Sedan","Station Wagon/Sport Utility Vehicle",2021,4
4407658,"2021-04-15","16:00","QUEENS",11436,40.680477,-73.7921,"40.680477, -73.7921","SUTPHIN BOULEVARD","FOCH BOULEVARD",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Sedan","Station Wagon/Sport Utility Vehicle",2021,4
4407976,"2021-04-16","12:26","MANHATTAN",10023,40.778606,-73.98163,"40.778606, -73.98163","AMSTERDAM AVENUE","WEST 72 STREET",1,0,0,0,0,0,1,0,"Backing Unsafely","Station Wagon/Sport Utility Vehicle","Bus",2021,4
4407714,"2021-04-16","0:30","QUEENS",11369,40.75868,-73.87552,"40.75868, -73.87552","93 STREET","32 AVENUE",1,0,0,0,1,0,0,0,"Unsafe Speed","Sedan","Bike",2021,4
4407852,"2021-04-16","14:30","QUEENS",11367,40.7158,-73.824486,"40.7158, -73.824486","UNION TURNPIKE","134 STREET",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Sedan","Box Truck",2021,4
4408027,"2021-04-15","14:36","BROOKLYN",11210,40.62677,-73.946884,"40.62677, -73.946884","AVENUE J","NOSTRAND AVENUE",1,0,0,0,0,0,1,0,"Driver Inattention/Distraction","Sedan","Station Wagon/Sport Utility Vehicle",2021,4
4407794,"2021-04-12","21:30","BRONX",10457,40.854115,-73.89091,"40.854115, -73.89091","EAST 183 STREET","3 AVENUE",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Sedan","Sedan",2021,4
4408402,"2021-04-16","17:25","BRONX",10466,40.89466,-73.86137,"40.89466, -73.86137","EAST 233 STREET","BRONX BOULEVARD",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Station Wagon/Sport Utility Vehicle","Sedan",2021,4
4407762,"2021-04-15","11:00","QUEENS",11416,40.681484,-73.85049,"40.681484, -73.85049","102 ROAD","89 STREET",1,0,0,0,0,0,1,0,"Failure to Yield Right-of-Way","Sedan","Sedan",2021,4
4407297,"2021-04-14","9:31","BRONX",10473,40.82433,-73.874374,"40.82433, -73.874374","BRUCKNER BOULEVARD","STRATFORD AVENUE",0,0,0,0,0,0,0,0,"Passing Too Closely","Station Wagon/Sport Utility Vehicle","Bus",2021,4
